類別,藥品製造許可編號,藥品製造許可有效期限,名稱,地址,電話,監製藥師,核准劑型,核定品項,核定作業內容,備註
原料藥廠,(C)0004001號,104年10月25日,七星化學製藥股份有限公司,新北市土城區福安街75號,02-22685871,,,Bupropion HCl、Chlorzoxazone、Methocarbamol、Methocarbamol DC 90%、Guaifenesin,,
原料藥廠,(C)0003009號,104年5月16日,中化合成生技股份有限公司山佳工廠,新北市樹林區東興街1號,02-86843318,,,Alprazolam、Caspofungin Acetate、Everolimus、Everolimus B20、Guaifenesin、Metaxalone、Methocarbamol、Mycophenolate mofetil、Olopatadine HCl、Perindopril Erbumine、Pravastatin Sodium、Tacrolimus、Trandolapril、Rapamycin、,,
原料藥廠,(C)0005002號,104年10月19日 ,台耀化學股份有限公司蘆竹廠,桃園縣蘆竹鄉和平街36、36-1號,03-3240895,,,Alfacalcidol、Anastrozole、Balsalazide Disodium Dihydrate、Benzonatate、Calcipotriol、Calcipotriol Monohydrate、Calcitriol、Capsaicin、Colestipol Hydrochloride、Colesevelam Hydrochloride、Doxercalciferol、Flupentixol Dihydrochloride、Gadodiamide Hydrate、Lapatinib Ditosylate、Leflunomide、Melitracen hydrochloride、Mifepristone、Miltefosine、Montelukast Sodium、Mycophenolate Mofetil、Orlistat、Paricalcitol、Sevelamer Carbonate、 Sevelamer Hydrochloride、Temozolomide,,
原料藥廠,,,臺灣永光化學工業股份有限公司第二廠,桃園縣觀音鄉工業三路12號,03-4838088,,,Alprostadil、Bimatoprost、Epoprostenol Sodium、Felodipine、Latanoprost、Lubiprostone、Misoprostol、Misoprostol-HPMC 1% Dispersion、Travoprost,,
原料藥廠,(C)0001019號,105年4月12日,台灣神隆股份有限公司,台南市善化區南科八路1號,06-5082874,,,Anastrazole、Azacitidine、Argatroban、Benazepril HCl、Bivalirudin、Dantrolene Sodium、Decitabine、Docetaxel、Eflornithine Hydrochloride、Entecavir monohydrate、Exemestane、Flavoxate Hydrochloride、Flumazenil、 Galantamine HBr、Gemictabine HCl、Irinotecan hydrochloride、Isoconazol nitrate、Letrozole、Paclitaxel、Riluzole、Tamsulosin HCl、Topiramate、Topotecan HCl、Vilazodone HCl、Zotarolimus、Zoledronic acid,,
原料藥廠,(C)0006013,106年2月11日,正峰化學製藥股份有限公司大園廠,桃園縣大園鄉工四路19號,03-3868383-5,,,Diclofenac Sodium、Ethoxybenzamide、Mefenamic Acid、Phenylephrine Hydrochloride、Phenylpropanolamine Hydrochloride、Pseudoephedrine Hydrochloride,,
原料藥廠,(C)0012017號,105年3月22日,永日化學工業股份有限公司台中幼獅廠,台中市大甲區幼獅路59、61號,04-26811344,,,Acyclovir、Diclofenac Sodium、Mefenamic Acid、Metoprolol Succinate、Miconazole Nitrate、Sodium Starch Glycolate,,
原料藥廠,(C)0007004號,104年3月6日,永信藥品工業股份有限公司台中幼獅二廠,台中市大甲區日南里工六路29號,04-26815181,,,Lovastatin、Paclitaxel,,
原料藥廠,,,永信藥品工業股份有限公司台中幼獅三廠,台中市大甲區日南里工六路26號,04-26815181,,,Cephalexin、Cefaclor,,
原料藥廠,(C)0013003號 ,103年5月12日,生展生物科技股份有限公司,台南市新營區土庫里開元路154號A棟,06-6323588,,,"生展莫匹羅星 Mupirocin""Syngen""",,
原料藥廠,,,生泰合成工業股份有限公司,台南市新營區開元路168號,06-6362121-3,,,Atenolol、Chlormezanone、Chlorzoxazone、Clofibrate、Cloperastine HCL、Crotamiton、Diclofenac Sodium、Diclofenac Potassium、Diltiazem HCl、Diclofenac Diethylamine、Eperisone HCl、Orciprenaline Sulphate、Oxazolam、Oxethazaine、p-Aminomethylbenzoic acid、Pipethanate Ethobromide、Phenylephrine HCl、Phenyltoloxamine Citrate、Pramoxine HCl、Lansoprazole、Metaxalone、Metoprolol Succinate、Mycophenolate Mofetil、Nicametate Citrate、Sulcaine、Timolol Maleate、Tipepidine Hibenzate、Tolperisone HCl,,
原料藥廠,(C)0008010號,104年10月17日,生達化學製藥股份有限公司二廠,台南市新營區開元路154號,06-6362916,,,Alfuzosin Hydrochloride、Dextromethorphan Hydrobromide、Dimemorfan Phosphate、Entacapone、Prazosin Hydrochloride、Sodium Stearyl Fumarate、Riluzole,,
原料藥廠,(C)0017018號,105年7月19日,立大化成工業股份有限公司,新北市土城區民生街15號,02-22686357,,,Guaifenesin、Lidocaine、Lidocaine HCl,,
原料藥廠,(C)0014016號,105年1月8日,旭富製藥科技股份有限公司桃園廠,桃園縣蘆竹鄉海湖村16鄰186之2號,03-3543133,,,Allopurinol、Articaine Hydrochloride、Bisoprolol Fumarate、Cyclophosphamide、Divalproex Sodium、Duloxetine hydrochloride、Loxoprofen sodium hydrate、Methylphenidate Hydrochloride、Pentobarbital Sodium、Propafenone Hydrochloride、Sodium Valproate、Thiopental、Valproic acid、Hydroxychloroquine Sulfate,,
原料藥廠,(C)0022005號,104年10月24日,佳和桂科技股份有限公司烏樹林廠,桃園縣龍潭鄉烏林村工二路298巷41號及工二路298巷39弄22號,03-4995026,,,Bimatoprost、Latanoprost、Misoprostol、Misoprostol 1％ HPMC Dispersion,,
原料藥廠,(C)0023011號,106年2月11日,展旺生命科技股份有限公司南科分公司,台南市新市區大順九路11號,06-5051200,,,Cilastatin Sodium、Imipenem、Imipenem and Cilastatin Sodium for Injection (Sterile Bulk),,
原料藥廠,(C)0018021號,105年3月28日,景岳生物科技股份有限公司,台南市善化區南科七路8號,06-5052151,,,eN-Lac,,
原料藥廠,(C)0025006號,104年8月30日,佳和桂科技股份有限公司幼獅廠,桃園縣楊梅市獅四路2號,03-4963808,,,Lubiprostone、Travoprost、Treprostinil,,
原料藥廠,(C)0027020號,105年6月14日,王子製藥股份有限公司(新竹廠),新竹縣湖口鄉新竹工業區光復南路32號,03-5981438,,,Fursultiamine powder、Fursultiamine Hydrochloride、Thiamine Disulfide、,,
原料藥廠,(C)0026014號,105年5月23日,展旺生命科技股份有限公司,苗栗縣竹南鎮科中路29號,(037)580-100,,,無菌原料藥：Meropenem、Meropenem and Sodium Carbonate,,
非無菌原料藥：Ertapenem,,,,,,,,,,
原料藥廠,(C)0031022號,106年7月23日,展旺生命科技股份有限公司南科分公司南科第二廠區,臺南市新市區南科六路1號,06-5051200,,,Meropenem之無菌加工作業及Meropenem and Sodium Carbonate之無菌混和作業。,,
物流廠,(BP)0013001號,104年4月5日,泛泰醫療產品有限公司,桃園縣蘆竹鄉海湖村海山東街482號,03-3544286,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0001006號,105年4月30日,久裕企業股份有限公司,桃園縣桃園市興邦路43巷2-1號C棟4樓,02-26709898,,,,包裝、標示及倉儲作業。,
物流廠,(AT)0005007號,105年4月10日,吉地喜股份有限公司,新竹縣新豐鄉新豐村紅毛23-5號,03-5688138,,,,包裝、標示及倉儲作業。,
物流廠,(AT)0003099號,103年12月31日,美吾華股份有限公司 ,桃園縣楊梅市青山里獅二路10號,03-3282869,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0002012號,106年1月16日,裕利股份有限公司,桃園縣大園鄉和平村1鄰舊厝子1-2號,03-3869090,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0010005號,104年10月4日,新竹物流股份有限公司,新竹縣新豐鄉松柏村德昌街228號,03-5596111,,,,包裝及標示作業。,
物流廠,(BP)0011002號,104年10月12日,台灣大昌華嘉股份有限公司,桃園縣楊梅市瑞坪里梅獅路二段629號,03-4312828,,,,包裝、標示及倉儲作業。,
物流廠,(AT)0012103號,103年12月31日,台灣美強股份有限公司,新北市深坑區北深路三段155巷5號,02-26645987,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0014003號,104年05月16日,集康國際股份有限公司,高雄市鳥松區美山路6-1號,07-7352204,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0015004號,105年1月23日,亞博實業股份有限公司,新北市三重區重化街28號,02-85122962,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0017009號,105年10月15日,香港商信可股份有限公司台灣分公司,桃園縣大園鄉中山南路472號,03-3852500,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0016010號,105年10月9日,瑪里士實業有限公司,臺北市內湖區舊宗路二段121巷32號2樓及2樓之1,03-3852500,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0019011號,105年11月14日,昱昇藥業有限公司桃園廠,桃園縣蘆竹鄉南山路一段436號,03-3521334,,,,包裝、標示及倉儲作業。,
物流廠,(BP)0020013號,106年4月3日,友華生技醫藥股份有限公司桃園製藥廠,桃園縣桃園市大成路11號,03-3614102,,,,包裝、標示及倉儲作業。,
先導工廠,,,財團法人生物技術開發中心製劑先導工廠 ,新北市汐止區康寧街169巷202號1樓,02-26956933,,非無菌製劑：,,,
固體劑型：錠劑。,,,,,,,,,,
先導工廠,(IMP)0020001號,104年11月6日,台康生技股份有限公司,新北市汐止區康寧街169巷101號1樓、2樓、3樓、4樓、5樓,02-26956933,,IFN-α-Fc（干擾素α-Fc）、第一期及第二期臨床試驗用原料藥LTh(αK)「去毒性熱不穩定腸毒素蛋白（Detoxified Heat-labile enterotoxin）」。,,,
先導工廠,(C)0028007號,106年1月10日,雅祥生技醫藥股份有限公司五股廠,新北市五股區五權路9號4樓、15號4樓 ,02-22994836,,臨床試驗用生物技術原料藥「重組人類酸性纖維母細胞生長因子」(EUSOL-rhFGF1)，由工作細胞庫發酵至純化階段(Bulk)。 ,,,
先導工廠,(IMP)0407007號,105年3月21日,永昕生物醫藥股份有限公司,苗栗縣竹南鎮科東三路8、10號2樓暨8號3樓,037-586988,,基因工程及單株抗體製劑之原料藥TuNEX，從主細胞庫(Master cell bank)至原料藥(Drug substance)。,,,
臨床試驗用凍晶注射劑(無菌製備)：基因工程及單株抗體(TuNEX 25 mg/vial)。 ,,,,,,,,,,
先導工廠,(IMP)0419003號,103年12月31日,財團法人國家衛生研究院生物製劑廠,苗栗縣竹南鎮科研路35號,037-246166,,,,,
先導工廠,,,工業技術研究院釋放控制製劑工廠,新竹市東區綠水里光復路二段321號八之ㄧ館,03-5732597,,非無菌製劑：,,,
固體劑型：貼劑。,,,,,,,,,,
先導工廠,(IMP)003002號,105年1月23日,藥華醫藥股份有限公司台中分公司,台中市大雅區科雅西路28號3樓,04-2567-7880,,臨床試驗用基因工程及單株抗體製劑之原料藥，臨床試驗用原料藥「長效型干擾素（PEG-P-Interferon Alpha-2b）（P1101）」。 ,,,
先導工廠,(IMP)0432008號,105年4月17日,禾伸堂生技股份有限公司新竹廠,新竹縣竹北市生醫路二段22、26號2樓,02-87975966,,固體劑型-膠囊劑。 ,,,
醫用氣體廠,(G)0001001號,105年10月8日,三福氣體股份有限公司觀音二廠 ,桃園縣觀音鄉工業一路16之1號,03-4832660,,醫用氣體（液態）－大宗氣體生產（空氣分離廠）。,,,
醫用氣體廠,(G)0003002號,103年9月28日,遠榮氣體工業股份有限公司樹林工廠,新北市樹林區中山路三段206號之一,02-26806533,,醫用氣體 (液態/氣態)－灌充/充填廠,,,
醫用氣體廠,(G)0004006號,103年12月09日,台北氧氣股份有限公司高雄廠,高雄市阿蓮區港後里崙頂64號,07-6319474,,醫用氣體：,,,
大宗氣體生產-空氣分離廠及灌充/充填廠。,,,,,,,,,,
醫用氣體廠,(G)0008008號,104年1月4日,亞東工業氣體股份有限公司竹北廠,新竹縣竹北市泰和里沿河街42號,,,醫用氣體 : 灌充/充填廠。,,,
醫用氣體廠,(G)0011007號,104年2月22日,三福氣體股份有限公司台南廠,台南市永康區和平東路28號,,,醫用氣體 : 灌充/充填廠。,,,
醫用氣體廠,(G)0014011號,104年5月18日,錦德氣體有限公司,高雄市岡山區本洲工業區本工五路15號,07-6242527,,醫用氣體(液態及氣態)：灌充/充填廠。,,,
醫用氣體廠,(G)0009010號,104年1月13日,東聯化學股份有限公司高雄林園廠,高雄市林園區工業三路3、5號,07-6413101,,醫用氣體(液態)：大宗氣體生產-空氣分離廠。,,,
醫用氣體廠,(G)0005003號,106年12月21日,亞東工業氣體股份有限公司台中分公司,台中市梧棲區中港加工出口區經一路2號,04-36099988,,醫用氣體（液態）-大宗氣體生產（空氣分離廠）。,,,
醫用氣體廠,(G)0006004號,103年11月4日,遠榮氣體工業股份有限公司林園工廠,高雄市林園區北汕村石化四路4號,07-6411141~5,,醫用氣體-灌充/充填廠。,,,
醫用氣體廠,(G)0012005號,103年8月17日,三福氣體股份有限公司西盛廠,新北市新莊區新樹路293巷11號,02-22023553,,醫用氣體-灌充/充填廠。,,,
醫用氣體廠,(G)0020009號,104年5月4日,聯華氣體工業股份有限公司觀音一廠,桃園縣觀音鄉樹林村經建四路10號,03-4832650,,醫用氣體〈液體〉:大宗氣體生產-化學合成二氧化碳。,,,
醫用氣體廠,(G)0007012號,104年2月22日,亞東工業氣體股份有限公司高雄廠,高雄市路竹區後鄉里順安路331號,07-9633968,,醫用氣體(液態/氣態):灌充/充填廠。,,,
醫用氣體廠,(G)0030014號,104年11月21日,聯亞科技股份有限公司三廠,新竹市東區科學工業園區力行四路3號,03-5783876,,醫用氣體(液態)─大宗氣體生產（空氣分離廠）。,,,
醫用氣體廠,(G)0025015號,104年9月5日,聯華氣體工業股份有限公司林園工廠,高雄市林園區工業二路3-1號,07-6413501,,醫用氣體(液態)—大宗氣體生產(空氣分離廠)。,,,
醫用氣體廠,(G)0016016號,104年9月6日,永信工業股份有限公司氧氣廠,嘉義市西區磚磘里博愛路二段546號,05-2359755,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0002017號,104年8月24日,高氧實業有限公司岡山本洲廠,高雄市岡山區本洲里本工三路20號,07-6228688,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0021018號,104年12月21日,遠東氣體工業股份有限公司永安工廠,高雄市永安區新港里新興路1-21號,07-6913915,,醫用氣體(液態):大宗氣體生產（空氣分離廠）。,,,
醫用氣體廠,(G)0019019號,104年8月8日,聯銓氣體工業股份有限公司,桃園縣中壢市松江北路26號,03-4522852,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0026020號 ,104年10月23日,三鶯氣體有限公司鶯歌廠 ,新北市鶯歌區二甲路68-1號,02-26799328,,醫用氣體（液態）－灌充/充填廠。,,,
醫用氣體廠,(G)0015021號,104年7月20日,聯華氣體工業股份有限公司高雄廠 ,高雄市大社區保社里旗楠路62號,07-3512191,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0029022號 ,105年1月30日,臺北氧氣股份有限公司大肚廠 ,臺中市大肚區沙田路2段308巷9、9-1號,04-26995572,,醫用氣體（液態/氣態）－大宗氣體生產〈空氣分離廠〉及灌充/充填廠。,,,
醫用氣體廠,(G)0031024號,105年3月20日,臺北氧氣股份有限公司 ,新北市板橋區三民路1段22號,02-29616858,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0024023號,104年10月31日,聯華氣體工業股份有限公司中港分公司 ,臺中市梧棲區中港加工出口區大成南路1號,04-26581215,,醫用氣體（液態）－大宗氣體生產〈化學合成廠：氧化亞氮〉,,,
醫用氣體廠,(G)0022025號,105年1月31日,南亞塑膠工業股份有限公司麥寮總廠,雲林縣麥寮鄉中興村台塑工業園區2號,05-6818253,,醫用氣體(液態)─大宗氣體生產（空氣分離廠）。,,,
醫用氣體廠,(G)0013026號 ,104年3月21日,勤發特殊氣體股份有限公司 ,屏東縣潮州鎮興美里興美路32號,08-7861806,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0033027號,105年5月31日,明揚特殊氣體有限公司 ,桃園縣中壢市永福里西園路122號,05-2371666,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0035028號,105年4月7日,藍海氣體工業股份有限公司台中廠 ,台中市梧棲區草湳里南堤路二段88-1號,04-26399755,,醫用氣體（液態）－大宗氣體生產（空氣分離廠）。,,,
醫用氣體廠,(G)0037029號,105年7月2日,嘉南氣體工業股份有限公司 ,嘉義縣太保市嘉太工業區興業路5號,05-2371666,,醫用氣體（液態）－灌充/充填廠。,,,
醫用氣體廠,(G)0010030號,105年9月10日,東旭工業股份有限公司 ,花蓮縣吉安鄉慶豐村北安街161巷10號,03-8525506,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0023031號,105年5月17日,丙安科技有限公司 ,臺南市新營區嘉芳里新嘉街6號,06-6528644,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0018032號,105年11月8日,恆春氣體工業有限公司 ,花蓮縣吉安鄉慶豐村慶南一街57號,03-8523661,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0034033號,105年9月6日,台大氣體股份有限公司 ,彰化縣溪湖鎮東溪里員鹿路一段38巷46號,04-8285967,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0027034號,104年12月25日,太原氣體股份有限公司,苗栗縣頭份鎮蘆竹里16鄰中華路428號,037-623340,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
醫用氣體廠,(G)0036035號,105年7月4日,源吉氣體有限公司,臺中市大里區健民里仁化工三路230號,04-24916770,,醫用氣體（液態/氣態）－灌充/充填廠。,,,
血漿原料製備機構,(P)0001001,106年10月5日,醫療財團法人台灣血液基金會台北捐血中心,臺北市北投區立德路123號,02-28971600,,,,血漿原料製備。,
１、捐血中心：採集、處理、貼標及實驗室作業。,,,,,,,,,,
２、板橋捐血站：採集作業。,,,,,,,,,,
３、基隆捐血站：採集作業。,,,,,,,,,,
血漿原料製備機構,(P)0004002,106年11月17日,醫療財團法人台灣血液基金會台南捐血中心,臺南市中西區永福路1段58號,06-2131212,,,,血漿原料製備。,
１、捐血中心：採集、處理、貼標及實驗室作業。,,,,,,,,,,
２、嘉義捐血站：採集作業。,,,,,,,,,,
３、雲林捐血站：採集作業。,,,,,,,,,,
血漿原料製備機構,(P)0003003,106年10月27日,醫療財團法人台灣血液基金會台中捐血中心,臺中市西屯區臺灣大道4段1176號,04-24612345,,,,血漿原料製備。,
１、捐血中心：採集、處理、貼標及實驗室作業。,,,,,,,,,,
２、彰化捐血站：採集作業。,,,,,,,,,,
３、埔里捐血站：採集作業。,,,,,,,,,,
血漿原料製備機構,(P)0002004,106年12月1日,醫療財團法人台灣血液基金會新竹捐血中心,新竹縣竹北市光明十一路215巷8號,03-5556111,,,,血漿原料製備。,
１、捐血中心：採集、處理、貼標及實驗室作業。,,,,,,,,,,
２、桃園捐血站：採集作業。,,,,,,,,,,
３、苗栗捐血站：採集作業。,,,,,,,,,,
血漿原料製備機構,(P)0005005,106年12月9日,醫療財團法人台灣血液基金會高雄捐血中心,高雄市楠梓區高楠公路1837號,07-3660999,,,,血漿原料製備。,
１、捐血中心：採集、處理、貼標及實驗室作業。,,,,,,,,,,
２、屏東捐血站：採集作業。,,,,,,,,,,
