試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
Doxazosin mesylate tab 4mg,十全,衛署藥製057288,,,Y,1001104,"Doxazon tab 2mg ""S.C.""",十全,Taiwan
Doxazosin SR tab 4mg,中國化學,衛署藥製 049920,,Y,,971124,Doxaben XL tab 4mg,Pfizer,U.S.A.
Duloxetine cap 30mg,中國化學,衛署藥製056776,,Y,,1000801,Cymbalta cap 30mg,Eli Lilly,U.S.A.
Duloxetine cap 30mg,台裕,衛部藥製058181,,Y,,1020607,Cymbalta Cap 30mg,Eli Lilly,U.S.A.
Duloxetine cap 60mg,中化,衛署藥製 057743,,,Y,1010921,Duxetine cap 30mg,中化,Taiwan
Ebastine tab 10mg,五洲,衛署藥製  047950,,Y,,940202,Ebastel tab 10mg,Dainippon,Japan
Ebastine tab 5mg,景德,衛署藥製 049700,,Y,,970917,Ebastel tab 5mg,Dainippon,Japan
Efavirenz tab 600mg,中國化學,衛署藥製056775,,Y,,1000811,Stocrit tab 600mg,MSD,Australia
Enalapril tab 10mg,回春堂,衛署藥製 042712,,,Y,870929,Peri Safe tab 20mg,回春堂,Taiwan
Enalapril tab 10mg,永信,衛署藥製 044480,,,Y,900510,Landing tab 20mg,永信,Taiwan
Enalapril tab 20mg,中化,衛署藥製 039401,,Y,,841004,Renitec tab 20mg,MSD,France
Enalapril tab 20mg,信東,衛署藥製 039414,,Y,,841011,Vastec tab 20mg,MSD,U.S.A.
Enalapril tab 20mg,景德,衛署藥製 041281,,Y,,841228,Renitec tab 20mg,MSD,France
Enalapril tab 20mg,回春堂,衛署藥製 042346,,Y,,870604,Renitec tab 20mg,MSD,France
Enalapril tab 20mg,信元,衛署藥製 042584,,Y,,870422,Vasotec tab 20mg,MSD,U.S.A.
Enalapril tab 20mg,大豐,衛署藥製 044315,,Y,,900208,Renitec tab 20mg,MSD,England
Enalapril tab 20mg,永信,衛署藥製 044420,,Y,,900119,Renitec tab 20mg,MSD,France
Enalapril tab 20mg,衛達,衛署藥製 044810,,Y,,910116,Renitec tab 20mg,MSD,England
Enalapril tab 20mg,皇佳,衛署藥製 045975,,Y,,920904,Renitec tab 20mg,MSD,England
Enalapril tab 20mg,生達,衛署藥製048119,,Y,,950308,Renitec tab 20mg,MSD,England
Enalapril tab 5mg,信東,衛署藥製 039974,,,Y,880311,Renitec tab 5mg,MSD,France
Enalapril tab 5mg,中化,衛署藥製 041430,,,Y,860313,Enalatec tab 20mg,中國化學,Taiwan
Enalapril tab 5mg,回春堂,衛署藥製 042711,,,Y,870925,PeriSafe tab 5mg,回春堂,Taiwan
Enalapril tab 5mg,健喬信元,衛署藥製 045254,,Y,,910909,Renitec tab 5mg,MSD,England
Enalapril/ Felodipine ER tab 5mg/5mg,健喬信元,衛署藥製 049516,,Y,,970618,Lexxel ER FC tab 5mg/5mg,Merck ,U.S.A.
Enalapril/ HCTZ tab 10mg/25mg,永信,衛署藥製 049798,,Y,,971114,Vaseretic tab 10mg/25mg,Merck,U.S.A.
Enalapril/ HCTZ tab 5mg/12.5mg,永信,衛署藥製 049799,,,Y,971114,Vaseretic tab 10mg/25mg,Merck,U.S.A.
Entacapone tab 200mg,瑩碩,衛署藥製 049165,,Y,,961029,Comtan tab 200mg,Orion for Novartis,Finland
Entecavir tab 0.5mg,中化,衛署藥製 057322,,Y,,1010730,Baraclude tab 0.5mg,Bristol-Myers Squibb,U.S.A.
Entecavir tab 1mg,中化,衛署藥製 057856,,,Y,1010925,Envir tab 0.5mg,中化,Taiwan
Entecavir tab 1mg,永信,衛部藥製 058334,,Y,,1020904,Baraclude Tab 1mg,Bristol-Myers Squibb,U.S.A.
Erdosteine cap 300mg,美時,衛署藥製 047682,,,Y,941220,Erdotin cap 300mg,Edmond ,Italy
Escitalopram Oral soln 1mg/ml,晟德,衛署藥製056725,,Y,,1001004,Lexapro Oral soln 1mg/ml,Froest,U.S.A.
Escitalopram tab 10mg,瑞士,衛署藥製 056639,,Y,,1000624,Lexapro tab 10mg,H. Lundbeck A/S,Denmark
Escitalopram tab 10mg,東竹,衛署藥製 048506,,Y,,951114,Lexapro tab 10mg,H. Lundbeck A/S ,Denmark
Escitalopram tab 10mg,中國化學,衛署藥製 049629,,Y,,970815,Lexapro tab 10mg,H. Lundbeck A/S ,Denmark
Escitalopram tab 10mg,五洲,衛署藥製 054980,,Y,,990310,Lexapro tab 10mg,H. Lundbeck A/S,Denmark
Escitalopram tab 10mg,吉富,衛署藥輸 025369,,Y,,990211,Lexapro  tab 10mg,H. Lundbeck A/S,Denmark
Escitalopram tab 10mg,景德,衛署藥製 057259,,Y,,1010223,Lexapro tab 10mg,H.Lundbeck A/S.,Denmark
Escitalopram tab 20mg,鼎泰,衛署藥製 048661,,Y,,960209,Cipralex tab 20mg,H. Lundbeck A/S ,Denmark
Escitalopram tab 20mg,東竹,衛署藥製 054860,,,Y,981105,Epram tab 10mg,健亞,Taiwan
Eszopiclone tab 1mg,瑩碩,衛署藥製 057350,,,Y,1010710,Runesda-S tab 2mg,聯亞,Taiwan
Eszopiclone tab 2mg,瑩碩,衛署藥製057348,,Y,,1000227,Lunesta tab 2mg,Marlborough ,USA
Eszopiclone tab 3mg,瑩碩,衛署藥製 057349,,,Y,1010626,Eszopiclone tab 2mg,聯亞,Taiwan
Etodolac SR tab 400mg,翰諾士,衛署藥製057361,,Y,,1000324,Lacoxa SR tab 400mg,台灣東洋,Taiwan
Etodolac SR tab 400mg,恆生,衛署藥製 057976,,Y,,1011226,Lacoxa tab 400 mg,台灣東洋,Taiwan
Etodolac SR tab 400mg,正和,衛署藥製 057966,,Y,,1011105,LACOXA SR tab 400 mg,台灣東洋,Taiwan
Famotidine granule 20mg/gm,瑞安,衛署藥製 044500,,Y,,900518,Gaster granule 20mg/gm,Yamanouchi,Japan
Famotidine inj 10mg/ml,南光,衛署藥製 033072,,Y,,840307,Gaster inj 20mg/amp,Yamanouchi,Japan
Famotidine lyo-inj 20mg,生達,衛署藥製 032990,,Y,,870120,Gaster lyo-inj 20mg/vial,Yamanouchi,Japan
Famotidine powder 20mg/gm,山之內,衛署藥製 044875,,,Y,910125,Gaster powder 20mg/g,Yamanouchi,Japan
Famotidine tab 10mg,南光,衛署藥製 042949,,,Y,880331,Famodine tab 40mg,南光,Taiwan
Famotidine tab 10mg,中化,衛署藥製 043005,,,Y,871228,Quimadine tab 20mg,中化,Taiwan
Famotidine tab 10mg,永勝,衛署藥製 043821,,,Y,890425,Winiful tab 40mg,永勝,Taiwan
Famotidine tab 10mg,瑪科隆,衛署藥製 044608,,,Y,900817,Yamtac tab 20mg,順生,Taiwan
Famotidine tab 10mg,衛達,衛署藥製 049052,,,Y,960913,Weimok tab 40mg,衛達,Taiwan
Famotidine tab 20mg,榮民,衛署藥製 032250,,Y,,790406,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 20mg,回春堂,衛署藥製 033990,,Y,,800504,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 20mg,南光,衛署藥製 037601,,,Y,830419,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 20mg,生達,衛署藥製 038605,,Y,,831129,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 20mg,中化,衛署藥製 039794,,Y,,841228,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 20mg,永信,衛署藥製 040206,,,Y,850803,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 20mg,衛達,衛署藥製 040986,,,Y,860226,Weimok tab 40mg,衛達,Taiwan
Famotidine tab 20mg,正和,衛署藥製 041352,,Y,,841118,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 20mg,信東,衛署藥製 042863,,,Y,880112,Famo FC tab 40mg,信東,Taiwan
Famotidine tab 20mg,永勝,衛署藥製 043501,,,Y,890124,Winiful tab 40mg,永勝,Taiwan
Famotidine tab 20mg,景德,衛署藥製 043759,,,Y,890424,Kimodin tab 40mg,景德,Taiwan
Famotidine tab 20mg,大豐,衛署藥製 043935,,Y,,890701,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 20mg,瑪科隆,衛署藥製 044421,,Y,,900327,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 20mg,鼎明,衛署藥輸 022496,,Y,,871113,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,南光,衛署藥製 036869,,Y,,820906,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 40mg,衛達,衛署藥製 038291,,Y,,831109,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 40mg,合誠,衛署藥製 038776,,Y,,840206,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,永信,衛署藥製 039772,,Y,,841229,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,全福,衛署藥製 040697,,Y,,851014,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,景德,衛署藥製 041601,,Y,,860702,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,信東,衛署藥製 041882,,Y,,870103,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,世達,衛署藥製 042416,,Y,,870702,Gaster tab 20mg,Yamanouchi,Japan
Famotidine tab 40mg,永勝,衛署藥製 043294,,Y,,880830,Gaster tab 20mg,Yamanouchi,Taiwan
Famotidine tab 40mg,順生,衛署藥製 046078,,,Y,920109,Yamtac tab 20mg,順生,Taiwan
Felodipine E.R. tab 10mg,永信,衛署藥製 049963,,Y,,980113,Plendil ER tab 10mg,AstraZeneca,Sweden
Felodipine E.R. tab 2.5mg,永勝,衛署藥製 049376,,,Y,970130,Felo ER tab 5mg,永勝,Taiwan
Felodipine E.R. tab 5mg,永勝,衛署藥製055896,,,Y,990726,"Felo E.R.F.C. tab 10mg ""Everest""",永勝,Taiwan
Felodipine E.R. tab 5mg,十全,衛部藥製058208,,,Y,1030108,Felopine E.R.F.C. Tab 10mg,十全,Taiwan
Felodipine ER tab 10mg,十全,衛署藥製 043931,,Y,,890814,Plendil ER tab 10mg,Astra,Sweden
Felodipine ER tab 5mg,十全,衛署藥製 044468,,,Y,900402,Felop ER tab 10mg,十全,Taiwan
Felodipine ER tab 5mg,永勝,衛署藥製 044575,,Y,,900716,Plendil ER tab 5mg,Astra,Sweden
Felodipine ER tab 5mg,信東,衛署藥製 045392,,Y,,920127,Plendil ER tab 5mg,Astra,Sweden
Felodipine ER tab 5mg,健喬信元,衛署藥製 047536,,Y,,940825,Plendil ER tab 5mg,AstraZeneca,Sweden
Felodipine ER tab 5mg,永信,衛署藥製 049876,,Y,,970911,Plendil ER tab 5mg,AstraZeneca,Sweden
Felodipine SR tab 10mg,永勝,衛署藥製 050138,,Y,,980429,Plendil ER tab 10mg,AstraZeneca ,Sweden
Felodipine SR tab 10mg,南光,衛署藥製 045510,,Y,,920403,Plendil ER tab 10mg,Astra,Sweden
Felodipine SR tab 5mg,生達,衛署藥製 044098,,Y,,891020,Plendil ER tab 5mg,Astra,Sweden
Felodipine SR tab 5mg,健亞,衛署藥製 044631,,Y,,900525,Plendil ER tab 5mg,Astra,Sweden
Felodipine SR tab 5mg,南光,衛署藥製 046021,,,Y,920903,Polo SR tab 10mg,南光,Taiwan
Felodipine SR tab 5mg,育生,衛署藥製 046480,,Y,,930809,Plendil ER tab 5mg,AB Astra,Swden
Fenofibrate cap 100mg,培力,衛署藥製 041837,,Y,,870115,Lipanthyl cap 100mg,Fournier ,France
Fenofibrate cap 100mg,十全,衛署藥製 042775,,Y,,880105,Lipanthyl cap 100mg,Fournier ,France
Fenofibrate cap 100mg,信元,衛署藥製 042826,,Y,,880202,Lipanthyl cap 100mg,Fournier ,France
Fenofibrate cap 200 mg,十全,衛署藥製 056754,,,Y,1001122,Fenofibrate cap 100 mg,十全,Taiwan
Fenofibrate cap 200mg,正和,衛署藥製 042619,,Y,,870609,Lipanthyl cap 200mg,Fournier ,France
Fenofibrate cap 200mg,天義,衛署藥輸 023215,,Y,,910917,Lipanthyl cap 200mg,Fournier ,France
Fenofibrate cap 200mg,井田,衛署藥製 049551,,Y,,970617,Lipanthyl cap 200mg,Fournier,France
Fenofibrate cap 200mg,健喬信元,衛署藥製 049808,,Y,,971105,Lipanthyl  200M cap  200mg,Fournier ,France
Fenofibrate cap 67mg,正豪,衛署藥製 044461,,,Y,900202,Fenolip cap 200mg,正和,Taiwan
Fenofibrate tab 160mg,正和,衛署藥製 047228,Y,,,940113,Fenolip cap 200mg,正和,Taiwan
Fenofibrate tab 160mg,漢旭,衛署藥製 049333,,Y,,970204,Lipanthyl tab 160mg,Fournier,France
Fenofibrate tab 160mg,井田,衛署藥製 049797,,Y,,971028,Lipanthyl tab 160mg,Fournier ,France
Fenofibrate tab 160mg,瑩碩,衛署藥製 050087,,Y,,980331,Lipanthyl tab 160mg,Fournier ,France
Fenofibrate tab 160mg,健喬信元,衛署藥製056720,,Y,,1000720,Lipanthyl Supra tab 160mg,Fournier,France
Fentanyl patch 25 μg/h,管管局,衛署藥輸 024889,,Y,,970616,Durogesic TTS 25μg/h,Janssen,Belgium
Fentanyl patch 50 μg/h,管管局,衛署藥製 051717,,,Y,981029,"Fentanyl patch 25 μg/hr ""NBCD""",德山,Taiwan
Fexofenadine tab 180mg,世育,衛署藥製 049096,,Y,,960605,Allegra tab 180mg,Aventis,U.S.A.
Fexofenadine tab 180mg,大豐,衛署藥製 055916,,Y,,990628,Allegra tab 180mg,Sanofi-Aventis ,U.S.A.
Fexofenadine tab 180mg,羅得,衛署藥製056789,,Y,,991220,Allegra tab 180mg,Sanofi-Aventis,U.S.A.
Fexofenadine tab 180mg,永信,衛署藥製056751,,Y,,1000330,Allegra tab 180mg,Sanofi-Aventis,U.S.A.
Fexofenadine tab 60mg,大豐,衛署藥製057280,,,Y,1000624,Fexofenadine HCl F.C. tab 180mg,大豐,Taiwan
Fexofenadine tab 60mg,元宙,衛署藥製 047890,,Y,,950308,Allegra tab 60mg,Aventis,U.S.A.
Fexofenadine tab 60mg,中國化學,衛署藥製 049113,,Y,,960807,Allegra tab 60mg,Aventis,U.S.A.
Fexofenadine tab 60mg,井田,衛署藥製 050874,,Ｙ,,980814,Allegra tab 60mg,Sanofi-Aventis,U.S.A.
Fexofenadine tab 60mg,生達,衛署藥製 055954,,Y,,1000125,Allegra tab 60mg,Sanofi-Aventis,U.S.A.
Fexofenadine tab 60mg,羅得,衛署藥製057115,,,Y,1000602,GRM FCT ROOT 180mg,羅德,Taiwan
Fexofenadine tab 60mg,衛達,衛署藥製057297,,Y,,991013,Allegra tab 60mg,Sanofi-Aventis,U.S.A.
Fexofenadine/ Pseudoeph  SR tab 60mg/120mg,中化,衛署藥製 050424,,Ｙ,,980721,Allegra-D 12H ER tab 60mg/120mg,Aventis ,U.S.A.
Finasteride tab 1mg,萬菱,衛部藥製058117,,,Y,1020812,Finastate F.C. Tab 5mg,華興,Taiwan
Finasteride tab 1mg,中國化學,衛部藥製058161,,,Y,1021022,Fynasid F.C. Tab 5mg,中國化學,Taiwan
Finasteride tab 1mg,順生,衛署藥製 047277,,,Y,940510,Finasteride tab 5mg,順生,Taiwan
Finasteride tab 1mg,永信,衛署藥製 049175,,,Y,961029,Finaride tab 5mg,永信台中幼獅,Taiwan
Finasteride tab 5mg,井田,衛署藥製 043662,,Y,,890328,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,南光,衛署藥製 044331,,Y,,900130,Proscar tab 5mg,MSD,U.S.A.
Finasteride tab 5mg,景德,衛署藥製 044402,,Y,,900226,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,瑞安,衛署藥製 045387,,Y,,911016,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,華興,衛署藥製 046424,,Y,,930709,Proscar FC tab 5mg,MSD,England
Finasteride tab 5mg,內外,衛署藥製 045252,,Y,,911024,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,中化,衛署藥製 045621,,Y,,920307,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,順生,衛署藥製 047031,,Y,,931012,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,永信,衛署藥製 048557,,Y,,960118,Proscar tab 5mg,MSD,England
Finasteride tab 5mg,寶齡富錦,衛署藥製 049769,,Y,,971001,Proscar tab 5mg,MSD,U.S.A.
Fluconazole cap 150mg,中化,衛署藥製 040091,,Y,,850604,Diflucan cap 150mg,Pfizer,France
Fluconazole cap 150mg,景德,衛署藥製 041391,,Y,,860516,Diflucan cap 150mg,Pfizer,Taiwan
Fluconazole cap 150mg,信東,衛署藥製 042884,,Y,,880311,Diflucan cap 150mg,Pfizer,Taiwan
Fluconazole cap 150mg,生達,衛署藥製 043466,,,Y,881221,Fumay cap 50mg,生達,Taiwan
Fluconazole cap 150mg,永信,衛署藥製 043898,,Y,,890713,Diflucan cap 150mg,Pfizer ,Australia
Fluconazole cap 150mg,華興,衛署藥製 049502,,Y,,970602,Diflucan cap 150mg,Pfizer ,Australia
Fluconazole cap 50mg,中化,衛署藥製 041335,,,Y,860313,Azol-fluconazole cap 150mg,中化,Taiwan
Fluconazole cap 50mg,瑞安,衛署藥製 041997,,Y,,870213,Diflucan cap 150mg,Pfizer,Taiwan
Fluconazole cap 50mg,正和,衛署藥製 043293,,Y,,880922,Diflucan cap 150mg,Pfizer,Taiwan
Fluconazole cap 50mg,生達,衛署藥製 043339,,Y,,881020,Diflucan cap 150mg,Pfizer,Taiwan
Fluconazole cap 50mg,永信,衛署藥製 044680,,Y,,901012,Diflucan cap 150mg,Pfizer ,Australia
Fluconazole tab 200mg,永信,衛署藥製 037579,,Y,,830328,Diflucan cap 200mg,Pfizer,Taiwan
Fluoxetine cap 10mg,順生,衛署藥製 041936,,,Y,870211,Serotec cap 20mg,順生,Taiwan
Fluoxetine cap 10mg,生達,衛署藥製 043705,,,Y,890125,Flux cap 20mg,生達,Taiwan
Fluoxetine cap 10mg,聯邦,衛署藥製 044042,,,Y,891011,Fluxen cap 10mg,聯邦,Taiwan
Fluoxetine cap 10mg,永信,衛署藥製 044470,,,Y,900426,Fluronin cap 20mg,永信,Taiwan
Fluoxetine cap 20mg,景德,衛署藥製 041280,,Y,,851028,Prozac cap 20mg,Eli Lilly,U.S.A.
Fluoxetine cap 20mg,信元,衛署藥製 041338,,Y,,860506,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,順生,衛署藥製 041419,,Y,,860614,Prozac cap 20mg,Eli Lilly,U.S.A.
Fluoxetine cap 20mg,信東,衛署藥製 041606,,Y,,860918,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,聯邦,衛署藥製 042001,,Y,,870306,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,台灣東洋,衛署藥製 042570,,Y,,870609,Prozac cap 20mg,Eli Lilly,U.S.A.
Fluoxetine cap 20mg,中化,衛署藥製 042837,,Y,,880202,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,優良,衛署藥製 042901,,Y,,871006,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,生達,衛署藥製 042977,,Y,,880430,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,永信,衛署藥製 043523,,Y,,890111,Prozac cap 20mg,Eli Lilly,Taiwan
Fluoxetine cap 20mg,大豐,衛署藥製 043937,,Y,,890824,Prozac cap 20mg,Eli Lilly,Taiwan
Flurbiprofen tab 100mg,正和,衛署藥製 035179,,Y,,841020,Ansaid tab 100mg,Upjohn,U.S.A.
Flurbiprofen tab 100mg,內外,衛署藥製 035672,,Y,,880719,Ansaid tab 100mg,Upjohn,U.S.A.
Flurbiprofen tab 50mg,美時,衛署藥製 034082,,Y,,861002,Ansaid tab 50mg,Upjohn,U.S.A.
Flurbiprofen tab 50mg,正和,衛署藥製 035054,,,Y,881008,Ansaid tab 50mg,Upjohn,U.S.A.
Flurbiprofen tab 50mg,十全,衛署藥製 036267,,Y,,870714,Ansaid tab 50mg,Upjohn,U.S.A.
Flutamide tab 250mg,寶齡富錦,衛署藥製 046018,,Y,,921210,Fugerel tab 250mg,Schering-Plough,Canada
Flutamide tab 250mg,先靈葆雅,衛署藥輸 023098,,,Y,890914,Fugerel tab 250mg,Schering-Plough,Canada
Fluvastatin XL tab 80mg,東顥生化,衛署藥製056629,Y,,,990429,Lescol XL tab 80mg,Novartis Farmaceutica ,Spain
Fluvoxamine maleate tab 100mg,南光,衛署藥製 045381,,Y,,920130,Luvox tab 100mg,Solvay Duphar B.V.,Netherlands
Fluvoxamine maleate tab 50mg,信東,衛署藥製 045437,,Y,,920213,Luvox tab 50mg,Solvay Duphar B.V.,Netherlands
Fluvoxamine maleate tab 50mg,南光,衛署藥製 046286,,,Y,920901,Lote tab 100mg,南光,Taiwan
Fluvoxamine maleate tab 50mg,瑞士,衛署藥製 046549,,Y,,930902,Luvox tab 50mg,Solvay Duphar B.V.,Netherlands
Fluvoxamine maleate tab 50mg,鼎泰,衛署藥製 046933,,Y,,931021,Luvox tab 50mg,Solvay Pharm B.V.,Netherlands
Formoterol fumarate tab 40mg,十全,衛署藥製 044272,,Y,,920714,Atock tab 40mg,Yamanouchi,Japan
Formoterol fumarate tab 40mg,永信,衛署藥製 048646,,Y,,960313,Atock tab 40mg,Yamanouchi,Japan
Fosinopril tab 10mg,萬菱,衛署藥製 046199,,Y,,921210,Monopril tab 10mg,Bristol-Myers Squibb ,Australia
Fosinopril tab 10mg,生達,衛署藥製 047002,,Y,,940128,Monopril tab 10mg,Bristol-Myers Squibb ,Australia
Gabapentin cap 100mg,吉如,衛署藥製 049638,,,Y,970602,Gatine cap 300mg,瑞安,Taiwan
Gabapentin cap 100mg,南光,衛署藥製 051524,,,Ｙ,980818,Carbatin cap 300mg,南光,Taiwan
Gabapentin cap 300mg,吉如,衛署藥製 047477,,Y,,910822,Neuronitin cap 300mg,Parke-Davis,Pureo
Gabapentin cap 300mg,瑞士,衛署藥製 048357,,Y,,950720,Neuronitin cap 300mg,Parke-Davis,Puerto Rico
Gabapentin cap 300mg,南光,衛署藥製 049465,,Y,,970513,Neuronitin cap 300mg,Pfizer,Puerto Rico
Gabapentin cap 400mg,瑞士,衛署藥製 050036,,Y,,971030,Neuronitin cap 400mg,Pfizer,Puerto Rico
Gabapentin oral soln 50mg/ml,晟德,衛署藥製 049713,,Y,,971015,Neuronitin oral soln 250mg/5ml,Pfizer,Puerto Rico
Gabapentin tab 600mg,瑩碩,衛署藥製 047905,,Y,,950307,Neuronitin tab 600mg,Pfizer,Puerto Rico
Gabapentin tab 600mg,瑞士,衛署藥製 049517,,Y,,970508,Neuronitin tab 600mg,Pfizer,Puerto Rico
Gabapentin tab 800mg,瑩碩,衛署藥製 047982,,Y,,950504,Neuronitin tab 800mg,Pfizer,Puerto Rico
Gabapentin tab 800mg,南光,衛署藥製 049446,,Y,,970226,Neuronitin tab 800mg,Pfizer,Puerto Rico
Galantamine tab 8mg,健亞,衛署藥製 047265,,Y,,930528,Reminyl tab 8mg,Janssen,Italy
Galantamine tab 8mg,瑞士,衛署藥製055530,,Y,,990607,Reminyl tab 8mg,Janssen-Cilag ,Italy
Gemfibrozil cap 300mg,優良,衛署藥製 032563,,Y,,790421,Lopid cap 300mg,Parke-Davis,U.S.A.
Gemfibrozil cap 300mg,中化,衛署藥製 033476,,Y,,800110,Lopid cap 300mg,Parke-Davis,Taiwan
Gemfibrozil cap 300mg,乖乖,衛署藥製 035838,,Y,,800504,Lopid cap 300mg,Parke-Davis,Taiwan
Gemfibrozil cap 300mg,華興,衛署藥製 036483,,Y,,820524,Lopid cap 300mg,Parke-Davis,U.S.A.
Gemfibrozil cap 300mg,永勝,衛署藥製 039731,,Y,,841128,Lopid cap 300mg,Parke-Davis,Taiwan
Gemfibrozil cap 300mg,生達,衛署藥製 041332,,Y,,860311,Lopid cap 300mg,Parke-Davis,Taiwan
Gemfibrozil tab 300mg,瑞士,衛署藥製 041931,,,Y,870211,Nilpid tab 600mg,瑞士,Taiwan
Gemfibrozil tab 600mg,永信,衛署藥製 037685,,Y,,830606,Lopid cap 600mg,Parke-Davis,U.S.A.
Gemfibrozil tab 600mg,信東,衛署藥製 038016,,Y,,830825,Lopid cap 600mg,Parke-Davis,U.S.A.
Gemfibrozil tab 600mg,中化,衛署藥製 038296,,Y,,831109,Lopid cap 600mg,Parke-Davis,U.S.A.
Gemfibrozil tab 600mg,瑞士,衛署藥製 041496,,Y,,861002,Lopid tab 600mg,Parke-Davis,U.S.A.
Gemfibrozil tab 600mg,強生,衛署藥製 042244,,Y,,870303,Lopid tab 600mg,Parke-Davis,U.S.A.
Gemfibrozil tab 600mg,信元,衛署藥製 042585,,Y,,870730,Lopid tab 600mg,Parke-Davis,U.S.A.
Gestodene/ estradiol tab 0.075mg/0.03mg,美商惠氏,衛署藥輸 023092,,,Y,891206,Minulet tab ,Wyeth,Germany
Gestrinone cap 2.5mg,吉如,衛署藥製 045413,,Y,,910527,Dimetriose cap 2.5mg,Roussel Lab.,Ireland
Gestrinone cap 2.5mg,培力,衛署藥製 047913,,Y,,950214,Dimetriose cap 2.5mg,Patheon ,英國
Glimepiride tab 1mg,永信,衛署藥製 049072,,,Y,960920,Glime tab 2mg,永信,Taiwan
Glimepiride tab 1mg,瑞士,衛部藥製058088,,,Y,1020614,Nonin tab 2mg,瑞士,Taiwan
Glimepiride tab 2mg,生達,衛署藥製 046640,,Y,,930609,Amaryl tab 2mg,Aventis Dentschland ,Germany
Glimepiride tab 2mg,中化,衛署藥製 046647,,Y,,920904,Amaryl tab 2mg,Hoechst AG,Germany
Glimepiride tab 2mg,信東,衛署藥製 046766,,Y,,930504,Amaryl tab 2mg,Aventis Dentschland ,Germany
Glimepiride tab 2mg,景徳,衛署藥製 047485,,Y,,940727,Amaryl tab 2mg,Hoechst AG,Germany
Glimepiride tab 2mg,躍欣,衛署藥製 047172,,Y,,931203,Amaryl tab 2mg,Hoechst AG,Germany
Glimepiride tab 2mg,瑩碩,衛署藥製 047258,,Y,,940422,Amaryl tab 2mg,Aventis Dentschland ,Germany
Glimepiride tab 2mg,倍斯特,衛署藥製 047790,,Y,,941111,Amaryl tab 2mg,Aventis,Germany
Glimepiride tab 2mg,瑞士,衛署藥製 048068,,Y,,941214,Amaryl tab 2mg,Aventis,Germany
Glimepiride tab 2mg,永信,衛署藥製 048121,,Y,,950704,Amaryl tab 2mg,Aventis ,Germany
Glimepiride tab 2mg,壽元,衛署藥製 048560,,Y,,960119,Amaryl tab 2mg,Aventis ,Germany
Glimepiride tab 2mg,華興,衛署藥製 048846,,Y,,960117,Amaryl tab 2mg,Aventis ,Germany
Glimepiride tab 4mg,瑩碩,衛署藥製 052113,,,Y,981123,DonGli tab 2mg,羅得,Taiwan
Glimepiride tab 4mg,正和,衛署藥製 054857,,Y,,990426,Amaryl tab 2mg,Aventis ,Italy
Glimepiride tab 4mg,信東,衛部藥製058121,,,Y,1021011,Glimaryl tab 2mg,榮民,Taiwan
Glimepiride/ Metformin tab 2/500mg,賽諾菲,衛署藥輸 024876,Y,,,970903,Amaryl+Glucophage 2/500mg,Aventis+Merck,Italy+France
Glimepiride/Metformin HCl tab 2mg/500mg,信東,衛部藥製 058071,,Y,,1020617,Amaryl M Tab 2mg/500mg,"Handok pharmaceutical Co., Ltd.",Korea
Glyburide/ Metformin tab 2.5/500mg,友華,衛署藥製 046732,,Y,,931001,Glucovance tab 2.5/500mg,Bristol-Myers Squibb ,U.S.A.
Glyburide/Metformin tab 5mg/500mg,友華,衛署藥製 046733,,,Y,1010301,GlucoMet tab 5mg/500mg,友霖,Taiwan
